store_name,store_address,store_phone
三重台北橋(籌備中),新北市三重區文化南路6-1號,沒有電話
中壢莊敬(籌備中),桃園市中壢區莊敬路777號,沒有電話
蘆洲中正(籌備中),新北市蘆洲區中正路187號,沒有電話
台中昌平(籌備中),台中市北屯區昌平路一段350號,沒有電話
士林承德,台北市士林區承德路四段40巷125號,02-2889-1219
台中太平,台中市太平區太平里太平路593號1樓,04-2276-0789
蘆洲民族,新北市蘆洲區民族路498號,02-2848-8781
樹林秀泰,新北市板橋區大觀路三段160巷34弄2號,02-2825-0807
板橋致理,新北市板橋區文化路一段313號(誠信館),02-8257-0211
瑞芳站前,新北市瑞芳區民生街11號,02-2496-8866
板橋北門,新北市板橋區文化路一段17號,02-2968-6097
台北教育大學,台北市大安區敦南街38號,02-2736-0050
新莊雙鳳,新北市新莊區雙鳳路25號,02-2907-1066
台北中華,台北市萬華區中華路一段116號,02-2388-1198
三重仁美,新北市三重區仁美街 83號,02-2280-0807
中壢福州,桃園市中壢區福州二街445號,03-451-6521
鹿港復興,彰化縣鹿港鎮復興路285號,04-778-3526
蘇澳江夏,宜蘭縣蘇澳鎮江夏路34號,03-996-0610
基隆安一,基隆市安樂區安一路104號,02-2425-1553
桃園桃鶯,桃園市桃園區桃鶯路357號,03-361-1588
新店光明,新北市新店區光明街270號,02-2912-6660
松山機場,台北市松山區敦化北路340-9號-T2商場美食街-A01,02-2546-7961
屏東林森,屏東縣屏東市林森路92號,08-766-2218
台北饒河,台北市松山區八德路四段687號,02-2756-0100
中壢中原,桃園市中壢區三和二街23號,03-437-8497
台北延三,台北市大同區延平北路三段79-1,02-2341-9864
中和遠東廣場,新北市中和區建八路2號一樓A戶,02-8226-2806
八德福國,桃園市八德區福國北街193號,03-363-0701
大園菓林,桃園市大園區菓林路88號,03-383-9899
台北漢中,台北市萬華區漢中街36-1號,02-2381-2119
三重自強,新北市三重區自強路三段17號,02-2988-0630
觀音成功,桃園市觀音區成功路二段839號,03-483-9168
中和南華,新北市中和區南華路16號,02-2242-9042
宜蘭員山,宜蘭縣員山鄉員山路一段203號,03-922-8123
台北永春,台北市信義區忠孝東路五段423巷64號,02-2756-8280
台北明德,台北市北投區明德路126號,02-2828-2807
基隆暖暖,基隆市暖暖區東勢街1-19號,02-2457-6689
台北延吉,台北市松山區延吉街2-5號,02-2579-4678
台北德行東,台北市士林區德行東路267號,02-2832-2676
桃園中山,桃園市桃園區中山路849號,03-369-8070
板橋文德,新北市板橋區文德路61號,02-8257-0210
台北江南,台北市內湖區江南街110號,02-2797-3930
北投吉利,台北市北投區吉利街114號,02-2825-0519
台北龍江,台北市中山區龍江路356巷13號,02-2517-6009
三峽光明,新北市三峽區光明路17號,02-8672-5066
淡水沙崙,新北市淡水區沙崙路158-6號,02-2805-5575
中和環球,新北市中和區中山路三段100號,02-8221-5899
大園中正東,桃園市大園區中正東路3號,03-385-0215
桃園寶山,桃園市桃園區寶山街163號,03-358-6665
板橋華興,新北市板橋區華興街54號,02-2958-5582
楊梅大成,桃園市楊梅區大成路118號,03-475-1139
新莊西盛,新北市新莊區西盛街226號1樓,02-2203-5556
台北葫洲,台北市內湖區康寧路三段26巷1號,02-2631-8272
三重長壽,新北市三重區長壽街23號-2,02-2977-0630
新竹民族,新竹市東區民族路16號-1,03-525-8668
亞東科大,新北市板橋區四川路二段47巷1弄2號,02-8966-8680
泰山全興,新北市泰山區全興路83號,02-2900-9821
石牌國中,台北市北投區石牌路一段164號,02-2828-1012
新莊新泰,新北市新莊區新泰路313號,02-2277-7658
平鎮南豐,桃園市平鎮區南豐路17號,03-469-9947
三重溪尾,新北市三重區溪尾街215號,02-8983-0630
宜蘭壯圍,宜蘭縣壯圍鄉壯五路293號,03-938-3373
宜蘭五結,宜蘭縣五結鄉利成路一段17號1樓,03-960-1112
八德義勇,桃園市八德區義勇街116號,03-218-0201
楊梅文化,桃園市楊梅區文化街181號,03-481-0358
大直北安,台北市中山區北安路516號-5,02-2532-2277
樹林太元,新北市樹林區太元街30號,02-8686-1239
中壢龍東,桃園市中壢區龍東路48號,03-283-0097
板橋民治,新北市板橋區民治街121號,02-2250-3390
潮州興隆,屏東縣潮州鎮興隆路180號,08-788-0551
中和中山,新北市中和區中山路二段276號,02-2246-6177
